fórmula,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
Ni,Ni1,28.0,28.0,0.0,28.0,0.0,28.0,61.0,61.0,0.0,61.0,0.0,61.0,58.6934,58.6934,0.0,58.6934,0.0,58.6934,1728.0,1728.0,0.0,1728.0,0.0,1728.0,10.0,10.0,0.0,10.0,0.0,10.0,4.0,4.0,0.0,4.0,0.0,4.0,124.0,124.0,0.0,124.0,0.0,124.0,1.91,1.91,0.0,1.91,0.0,1.91,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,10.32,10.32,0.0,10.32,0.0,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.0,0.5953947,0.0,0.5953947,225.0,225.0,0.0,225.0,0.0,225.0
Ni0.99Y0.01,Ni0.99 Y0.01,28.0,39.0,11.0,28.11,0.21779999999999944,28.0,12.0,61.0,49.0,60.51,0.970200000000002,61.0,58.6934,88.90585,30.212450000000004,58.995524499999995,0.598206509999998,58.6934,1728.0,1799.0,71.0,1728.71,1.4058000000000357,1728.0,3.0,10.0,7.0,9.93,0.13860000000000028,10.0,4.0,5.0,1.0,4.01,0.01979999999999979,4.0,124.0,190.0,66.0,124.66000000000001,1.3068000000000106,124.0,1.22,1.91,0.69,1.9030999999999998,0.013662000000000125,1.91,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,7.93,0.13860000000000028,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,9.93,0.13860000000000028,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,2.07,0.13859999999999983,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,2.07,0.13859999999999983,2.0,10.32,32.365,22.045,10.540450000000002,0.4364910000000014,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.5894407530000001,0.011788815059999961,0.5953947,194.0,225.0,31.0,224.69,0.6138000000000022,225.0
Ni0.98Y0.02,Ni0.98 Y0.02,28.0,39.0,11.0,28.22,0.4311999999999989,28.0,12.0,61.0,49.0,60.02,1.920799999999997,61.0,58.6934,88.90585,30.212450000000004,59.297649,1.184328040000003,58.6934,1728.0,1799.0,71.0,1729.42,2.78320000000007,1728.0,3.0,10.0,7.0,9.860000000000001,0.27439999999999887,10.0,4.0,5.0,1.0,4.02,0.039199999999999596,4.0,124.0,190.0,66.0,125.32,2.587199999999993,124.0,1.22,1.91,0.69,1.8961999999999999,0.02704800000000003,1.91,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,7.859999999999999,0.27440000000000053,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,9.860000000000001,0.27439999999999887,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,2.14,0.2744000000000001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,2.14,0.2744000000000001,2.0,10.32,32.365,22.045,10.7609,0.8641639999999993,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.583486806,0.02333947224000003,0.5953947,194.0,225.0,31.0,224.38,1.2152000000000043,225.0
Ni0.97Y0.03,Ni0.97 Y0.03,28.0,39.0,11.0,28.33,0.6401999999999983,28.0,12.0,61.0,49.0,59.53,2.851799999999999,61.0,58.6934,88.90585,30.212450000000004,59.5997735,1.758364590000001,58.6934,1728.0,1799.0,71.0,1730.1299999999999,4.132199999999889,1728.0,3.0,10.0,7.0,9.79,0.40740000000000076,10.0,4.0,5.0,1.0,4.03,0.05820000000000023,4.0,124.0,190.0,66.0,125.98,3.8412000000000037,124.0,1.22,1.91,0.69,1.8892999999999998,0.04015800000000015,1.91,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,7.79,0.4074,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,9.79,0.40740000000000076,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,2.21,0.4074,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,2.21,0.4074,2.0,10.32,32.365,22.045,10.98135,1.2830190000000006,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.5775328590000001,0.03465197153999999,0.5953947,194.0,225.0,31.0,224.07,1.8042000000000065,225.0
Ni0.96Y0.04,Ni0.96 Y0.04,28.0,39.0,11.0,28.439999999999998,0.8447999999999979,28.0,12.0,61.0,49.0,59.03999999999999,3.7632000000000074,61.0,58.6934,88.90585,30.212450000000004,59.90189799999999,2.3203161599999924,58.6934,1728.0,1799.0,71.0,1730.84,5.452799999999925,1728.0,3.0,10.0,7.0,9.719999999999999,0.5376000000000011,10.0,4.0,5.0,1.0,4.04,0.07680000000000003,4.0,124.0,190.0,66.0,126.63999999999999,5.068799999999987,124.0,1.22,1.91,0.69,1.8823999999999999,0.05299200000000006,1.91,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,7.72,0.5376000000000002,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,9.719999999999999,0.5376000000000011,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,2.28,0.5375999999999999,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,2.28,0.5375999999999999,2.0,10.32,32.365,22.045,11.2018,1.6930560000000003,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.571578912,0.04572631296000006,0.5953947,194.0,225.0,31.0,223.76,2.3808000000000087,225.0
Ni0.95Y0.05,Ni0.95 Y0.05,28.0,39.0,11.0,28.549999999999997,1.0449999999999975,28.0,12.0,61.0,49.0,58.55,4.655000000000003,61.0,58.6934,88.90585,30.212450000000004,60.204022499999994,2.870182749999997,58.6934,1728.0,1799.0,71.0,1731.55,6.744999999999958,1728.0,3.0,10.0,7.0,9.65,0.6649999999999996,10.0,4.0,5.0,1.0,4.05,0.09499999999999983,4.0,124.0,190.0,66.0,127.3,6.269999999999998,124.0,1.22,1.91,0.69,1.8754999999999997,0.06555000000000018,1.91,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,7.6499999999999995,0.6650000000000005,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,9.65,0.6649999999999996,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,2.35,0.665,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,2.35,0.665,2.0,10.32,32.365,22.045,11.42225,2.0942749999999997,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.565624965,0.05656249650000002,0.5953947,194.0,225.0,31.0,223.45,2.94500000000001,225.0
Ni0.94Y0.06,Ni0.94 Y0.06,28.0,39.0,11.0,28.66,1.2408000000000001,28.0,12.0,61.0,49.0,58.059999999999995,5.527200000000004,61.0,58.6934,88.90585,30.212450000000004,60.50614699999999,3.4079643599999954,58.6934,1728.0,1799.0,71.0,1732.26,8.008799999999992,1728.0,3.0,10.0,7.0,9.579999999999998,0.7896000000000014,10.0,4.0,5.0,1.0,4.06,0.11279999999999965,4.0,124.0,190.0,66.0,127.96,7.444799999999994,124.0,1.22,1.91,0.69,1.8685999999999998,0.0778320000000001,1.91,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,7.579999999999999,0.7896000000000007,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,9.579999999999998,0.7896000000000014,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,2.42,0.7895999999999999,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,2.42,0.7895999999999999,2.0,10.32,32.365,22.045,11.6427,2.4866759999999997,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.559671018,0.06716052216000008,0.5953947,194.0,225.0,31.0,223.14,3.496800000000012,225.0
Ni0.93Y0.07,Ni0.93 Y0.07,28.0,39.0,11.0,28.770000000000003,1.4322000000000028,28.0,12.0,61.0,49.0,57.57000000000001,6.379799999999994,61.0,58.6934,88.90585,30.212450000000004,60.808271500000004,3.933660990000006,58.6934,1728.0,1799.0,71.0,1732.9700000000003,9.24420000000022,1728.0,3.0,10.0,7.0,9.510000000000002,0.9113999999999987,10.0,4.0,5.0,1.0,4.07,0.13020000000000026,4.0,124.0,190.0,66.0,128.62,8.593200000000003,124.0,1.22,1.91,0.69,1.8617,0.08983800000000002,1.91,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,7.510000000000001,0.9113999999999995,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,9.510000000000002,0.9113999999999987,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,2.49,0.9114000000000002,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,2.49,0.9114000000000002,2.0,10.32,32.365,22.045,11.863150000000001,2.870259000000001,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.5537170710000001,0.07752038993999996,0.5953947,194.0,225.0,31.0,222.83,4.036199999999989,225.0
Ni0.92Y0.08,Ni0.92 Y0.08,28.0,39.0,11.0,28.880000000000003,1.6192000000000022,28.0,12.0,61.0,49.0,57.080000000000005,7.212799999999996,61.0,58.6934,88.90585,30.212450000000004,61.110396,4.447272640000005,58.6934,1728.0,1799.0,71.0,1733.68,10.451200000000053,1728.0,3.0,10.0,7.0,9.440000000000001,1.0303999999999989,10.0,4.0,5.0,1.0,4.08,0.14720000000000005,4.0,124.0,190.0,66.0,129.28,9.715200000000001,124.0,1.22,1.91,0.69,1.8548,0.10156799999999994,1.91,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,7.44,1.0303999999999998,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,9.440000000000001,1.0303999999999989,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,2.56,1.0304000000000002,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,2.56,1.0304000000000002,2.0,10.32,32.365,22.045,12.0836,3.245024000000001,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.547763124,0.08764209984000002,0.5953947,194.0,225.0,31.0,222.52,4.563199999999991,225.0
Ni0.91Y0.09,Ni0.91 Y0.09,28.0,39.0,11.0,28.990000000000002,1.8018000000000016,28.0,12.0,61.0,49.0,56.59,8.026199999999998,61.0,58.6934,88.90585,30.212450000000004,61.4125205,4.948799310000002,58.6934,1728.0,1799.0,71.0,1734.39,11.629800000000081,1728.0,3.0,10.0,7.0,9.37,1.1466000000000007,10.0,4.0,5.0,1.0,4.09,0.1637999999999999,4.0,124.0,190.0,66.0,129.94,10.810799999999999,124.0,1.22,1.91,0.69,1.8478999999999999,0.11302200000000004,1.91,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,7.37,1.1465999999999998,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,9.37,1.1466000000000007,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,2.63,1.1465999999999998,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,2.63,1.1465999999999998,2.0,10.32,32.365,22.045,12.304050000000002,3.6109710000000015,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.5418091770000001,0.09752565185999998,0.5953947,194.0,225.0,31.0,222.21,5.077799999999994,225.0
