fórmula,massa molar calculada pelo pymatgen,número de elementos calculado pelo pymatgen,eletronegatividade média calculada pelo pymatgen,desvio de eletronegatividade calculado pelo pymatgen,raio atômico médio calculado pelo pymatgen
Ni,58.6934,1,1.91,0.0,1.35
Ni0.99Y0.01,58.995524499999995,2,1.565,0.345,1.5750000000000002
Ni0.98Y0.02,59.297649,2,1.565,0.345,1.5750000000000002
Ni0.97Y0.03,59.5997735,2,1.565,0.345,1.5750000000000002
Ni0.96Y0.04,59.90189799999999,2,1.565,0.345,1.5750000000000002
Ni0.95Y0.05,60.204022499999994,2,1.565,0.345,1.5750000000000002
Ni0.94Y0.06,60.50614699999999,2,1.565,0.345,1.5750000000000002
Ni0.93Y0.07,60.808271500000004,2,1.565,0.345,1.5750000000000002
Ni0.92Y0.08,61.110396,2,1.565,0.345,1.5750000000000002
Ni0.91Y0.09,61.4125205,2,1.565,0.345,1.5750000000000002
Ni0.90Y0.10,61.714645,2,1.565,0.345,1.5750000000000002
Ni0.89Y0.11,62.016769499999995,2,1.565,0.345,1.5750000000000002
Ni0.88Y0.12,62.318894,2,1.565,0.345,1.5750000000000002
Ni0.87Y0.13,62.6210185,2,1.565,0.345,1.5750000000000002
Ni0.86Y0.14,62.923142999999996,2,1.565,0.345,1.5750000000000002
Ni0.85Y0.15,63.2252675,2,1.565,0.345,1.5750000000000002
Ni0.84Y0.16,63.52739199999999,2,1.565,0.345,1.5750000000000002
Ni0.83Y0.17,63.8295165,2,1.565,0.345,1.5750000000000002
Ni0.82Y0.18,64.131641,2,1.565,0.345,1.5750000000000002
Ni0.81Y0.19,64.43376549999999,2,1.565,0.345,1.5750000000000002
Ni0.80Y0.20,64.73589,2,1.565,0.345,1.5750000000000002
Ni0.79Y0.21,65.0380145,2,1.565,0.345,1.5750000000000002
Ni0.78Y0.22,65.340139,2,1.565,0.345,1.5750000000000002
Ni0.77Y0.23,65.6422635,2,1.565,0.345,1.5750000000000002
Ni0.76Y0.24,65.944388,2,1.565,0.345,1.5750000000000002
Ni0.75Y0.25,66.2465125,2,1.565,0.345,1.5750000000000002
Ni0.74Y0.26,66.548637,2,1.565,0.345,1.5750000000000002
Ni0.73Y0.27,66.8507615,2,1.565,0.345,1.5750000000000002
Ni0.72Y0.28,67.152886,2,1.565,0.345,1.5750000000000002
Ni0.71Y0.29,67.45501049999999,2,1.565,0.345,1.5750000000000002
Ni0.70Y0.30,67.75713499999999,2,1.565,0.345,1.5750000000000002
Ni0.69Y0.31,68.0592595,2,1.565,0.345,1.5750000000000002
Ni0.68Y0.32,68.361384,2,1.565,0.345,1.5750000000000002
Ni0.67Y0.33,68.6635085,2,1.565,0.345,1.5750000000000002
Ni0.66Y0.34,68.965633,2,1.565,0.345,1.5750000000000002
Ni0.65Y0.35,69.26775749999999,2,1.565,0.345,1.5750000000000002
Ni0.64Y0.36,69.569882,2,1.565,0.345,1.5750000000000002
Ni0.63Y0.37,69.8720065,2,1.565,0.345,1.5750000000000002
Ni0.62Y0.38,70.17413099999999,2,1.565,0.345,1.5750000000000002
Ni0.61Y0.39,70.47625550000001,2,1.565,0.345,1.5750000000000002
Ni0.60Y0.40,70.77838,2,1.565,0.345,1.5750000000000002
Ni0.59Y0.41,71.08050449999999,2,1.565,0.345,1.5750000000000002
Ni0.58Y0.42,71.382629,2,1.565,0.345,1.5750000000000002
Ni0.57Y0.43,71.6847535,2,1.565,0.345,1.5750000000000002
Ni0.56Y0.44,71.986878,2,1.565,0.345,1.5750000000000002
Ni0.55Y0.45,72.28900250000001,2,1.565,0.345,1.5750000000000002
Ni0.54Y0.46,72.591127,2,1.565,0.345,1.5750000000000002
Ni0.53Y0.47,72.8932515,2,1.565,0.345,1.5750000000000002
Ni0.52Y0.48,73.195376,2,1.565,0.345,1.5750000000000002
Ni0.51Y0.49,73.4975005,2,1.565,0.345,1.5750000000000002
Ni0.50Y0.50,73.79962499999999,2,1.565,0.345,1.5750000000000002
Ni0.49Y0.51,74.1017495,2,1.565,0.345,1.5750000000000002
