fórmula,massa molar calculada pelo pymatgen,número de elementos calculado pelo pymatgen,eletronegatividade média calculada pelo pymatgen,desvio de eletronegatividade calculado pelo pymatgen,raio atômico médio calculado pelo pymatgen
Fe,55.845,1,1.83,0.0,1.4
Fe0.99La0.01,56.6756047,2,1.465,0.365,1.6749999999999998
Fe0.98La0.02,57.506209399999996,2,1.465,0.365,1.6749999999999998
Fe0.97La0.03,58.3368141,2,1.465,0.365,1.6749999999999998
Fe0.96La0.04,59.1674188,2,1.465,0.365,1.6749999999999998
Fe0.95La0.05,59.998023499999995,2,1.465,0.365,1.6749999999999998
Fe0.94La0.06,60.8286282,2,1.465,0.365,1.6749999999999998
Fe0.93La0.07,61.659232900000006,2,1.465,0.365,1.6749999999999998
Fe0.92La0.08,62.4898376,2,1.465,0.365,1.6749999999999998
Fe0.91La0.09,63.3204423,2,1.465,0.365,1.6749999999999998
Fe0.90La0.10,64.151047,2,1.465,0.365,1.6749999999999998
Fe0.89La0.11,64.9816517,2,1.465,0.365,1.6749999999999998
Fe0.88La0.12,65.8122564,2,1.465,0.365,1.6749999999999998
Fe0.87La0.13,66.6428611,2,1.465,0.365,1.6749999999999998
Fe0.86La0.14,67.4734658,2,1.465,0.365,1.6749999999999998
Fe0.85La0.15,68.3040705,2,1.465,0.365,1.6749999999999998
Fe0.84La0.16,69.1346752,2,1.465,0.365,1.6749999999999998
Fe0.83La0.17,69.9652799,2,1.465,0.365,1.6749999999999998
Fe0.82La0.18,70.7958846,2,1.465,0.365,1.6749999999999998
Fe0.81La0.19,71.6264893,2,1.465,0.365,1.6749999999999998
Fe0.80La0.20,72.45709400000001,2,1.465,0.365,1.6749999999999998
Fe0.79La0.21,73.2876987,2,1.465,0.365,1.6749999999999998
Fe0.78La0.22,74.1183034,2,1.465,0.365,1.6749999999999998
Fe0.77La0.23,74.94890810000001,2,1.465,0.365,1.6749999999999998
Fe0.76La0.24,75.77951279999999,2,1.465,0.365,1.6749999999999998
